,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,HTML Reference
2894,Matt Mazza,1950,1950,F,6-3,210,"September 23, 1923",Michigan State,/players/m/mazzama01.html
2895,Luc Mbah a Moute,2009,2020,F,6-8,230,"September 9, 1986",UCLA,/players/m/mbahalu01.html
2896,Bob McAdoo,1973,1986,C-F,6-9,210,"September 25, 1951","Vincennes University, UNC",/players/m/mcadobo01.html
2897,James Michael McAdoo,2015,2018,F,6-9,230,"January 4, 1993",UNC,/players/m/mcadoja01.html
2898,Ken McBride,1955,1955,G-F,6-3,190,"May 23, 1929",University of Maryland Eastern Shore,/players/m/mcbrike01.html
2899,Miles McBride,2022,2023,G,6-2,200,"September 8, 2000",West Virginia,/players/m/mcbrimi01.html
2900,Tahjere McCall,2019,2019,G,6-5,195,"August 17, 1994",Tennessee State,/players/m/mccalta01.html
2901,Ray McCallum,2014,2016,G,6-3,190,"June 12, 1991",Detroit Mercy,/players/m/mccalra01.html
2902,Bob McCann,1990,1998,F,6-6,244,"April 22, 1964","Upsala College, Morehead State University",/players/m/mccanbo01.html
2903,Brendan McCann,1958,1960,G,6-2,178,"July 5, 1935",St. Bonaventure,/players/m/mccanbr01.html
2904,Mel McCants,1990,1990,F,6-8,240,"August 19, 1967",Purdue,/players/m/mccanme01.html
2905,Rashad McCants,2006,2009,G,6-4,207,"September 25, 1984",UNC,/players/m/mccanra01.html
2906,Mike McCarron,1947,1950,G,5-11,180,"March 2, 1922",Seton Hall,/players/m/mccarmi01.html
2907,Andre McCarter,1977,1981,G,6-3,190,"August 25, 1953",UCLA,/players/m/mccaran01.html
2908,Willie McCarter,1970,1972,G,6-3,175,"July 26, 1946",Drake University,/players/m/mccarwi01.html
2909,Johnny McCarthy,1957,1964,G,6-1,185,"April 25, 1934",Canisius,/players/m/mccarjo01.html
2910,Howie McCarty,1947,1947,F-G,6-2,190,,Wayne State University,/players/m/mccarho01.html
2911,Kelly McCarty,1999,1999,G-F,6-7,200,"August 24, 1975",Southern Miss,/players/m/mccarke01.html
2912,Walter McCarty,1997,2006,F,6-10,230,"February 1, 1974",Kentucky,/players/m/mccarwa01.html
2913,Amal McCaskill,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette,/players/m/mccasam01.html
2914,Patrick McCaw,2017,2021,G,6-7,181,"October 25, 1995",UNLV,/players/m/mccawpa01.html
2915,Dwayne McClain,1986,1986,G,6-6,185,"February 7, 1963",Villanova,/players/m/mccladw01.html
2916,Ted McClain,1972,1979,G,6-1,180,"August 30, 1946",Tennessee State,/players/m/mcclate01.html
2917,Dan McClintock,2001,2001,C,7-0,270,"April 19, 1977",Northern Arizona University,/players/m/mcclida01.html
2918,Jack McCloskey,1953,1953,G,6-2,190,"September 19, 1925",Penn,/players/m/mccloja01.html
2919,George McCloud,1990,2002,G-F,6-6,205,"May 27, 1967",Florida State,/players/m/mccloge01.html
2920,Mac McClung,2022,2022,G,6-2,185,"January 6, 1999","Georgetown, Texas Tech",/players/m/mccluma01.html
2921,CJ McCollum,2014,2023,G,6-3,190,"September 19, 1991",Lehigh,/players/m/mccolcj01.html
2922,John McConathy,1952,1952,F,6-5,195,"April 9, 1930",Northwestern State University,/players/m/mcconjo01.html
2923,Bucky McConnell,1953,1953,G,5-10,170,"July 1, 1928",,/players/m/mcconbu01.html
2924,T.J. McConnell,2016,2023,G,6-1,190,"March 25, 1992","Duquesne, Arizona",/players/m/mccontj01.html
2925,Keith McCord,1981,1981,G,6-7,210,"June 22, 1957","Alabama, UAB",/players/m/mccorke01.html
2926,Tim McCormick,1985,1992,C,6-11,240,"March 10, 1962",Michigan,/players/m/mccorti01.html
2927,Jelani McCoy,1999,2008,C,6-10,245,"December 6, 1977",UCLA,/players/m/mccoyje01.html
2928,Paul McCracken,1973,1977,G,6-4,180,"September 11, 1950",Cal State Northridge,/players/m/mccrapa01.html
2929,Chris McCray,2007,2007,G,6-5,192,"May 27, 1984",Maryland,/players/m/mccrach01.html
2930,Rodney McCray,1984,1993,F-G,6-7,220,"August 29, 1961",Louisville,/players/m/mccraro01.html
2931,Scooter McCray,1984,1987,F-G,6-9,215,"February 8, 1960",Louisville,/players/m/mccrasc01.html
2932,Erik McCree,2018,2018,F,6-7,219,"December 20, 1993",Louisiana Tech,/players/m/mccreer01.html
2933,Chris McCullough,2016,2018,F,6-11,200,"February 5, 1995",Syracuse,/players/m/mcculch01.html
2934,John McCullough,1982,1982,G,6-4,190,"October 5, 1956",Oklahoma,/players/m/mcculjo01.html
2935,Clint McDaniel,1996,1996,G,6-4,180,"February 26, 1972",Arkansas,/players/m/mcdancl01.html
2936,Xavier McDaniel,1986,1998,F,6-7,205,"June 4, 1963",Wichita State,/players/m/mcdanxa01.html
2937,Jaden McDaniels,2021,2023,F,6-9,185,"September 29, 2000",Washington,/players/m/mcdanja02.html
2938,Jalen McDaniels,2020,2023,F,6-9,205,"January 31, 1998",San Diego State,/players/m/mcdanja01.html
2939,Jim McDaniels,1972,1978,C-F,6-11,228,"April 2, 1948",Western Kentucky,/players/m/mcdanji01.html
2940,K.J. McDaniels,2015,2017,G-F,6-6,205,"February 9, 1993",Clemson,/players/m/mcdankj01.html
2941,Doug McDermott,2015,2023,F,6-7,225,"January 3, 1992",Creighton,/players/m/mcderdo01.html
2942,Sean McDermott,2021,2021,F,6-6,195,"November 3, 1996",Butler,/players/m/mcderse01.html
2943,Ben McDonald,1986,1989,F,6-8,210,"July 20, 1962","University of California, Irvine",/players/m/mcdonbe01.html
2944,Glenn McDonald,1975,1977,F-G,6-6,190,"March 18, 1952",Cal State Long Beach,/players/m/mcdongl01.html
2945,Michael McDonald,1998,1998,C,6-10,232,"February 13, 1969","Utah Valley, New Orleans",/players/m/mcdonmi01.html
2946,Roderick McDonald,1971,1973,F,6-6,205,"April 9, 1945",Whitworth,/players/m/mcdonro01.html
2947,Hank McDowell,1982,1987,F-C,6-9,215,"November 13, 1959",Memphis,/players/m/mcdowha01.html
2948,Antonio McDyess,1996,2011,F-C,6-9,220,"September 7, 1974",Alabama,/players/m/mcdyean01.html
2949,Jim McElroy,1976,1982,G,6-3,190,"October 4, 1953",Central Michigan University,/players/m/mcelrji01.html
2950,Patrick McFarland,1974,1976,F-G,6-5,185,"December 7, 1951",Saint Joseph's,/players/m/mcfarpa01.html
2951,Ivan McFarlin,2007,2007,F,6-8,240,"April 26, 1982",Oklahoma State,/players/m/mcfariv01.html
2952,Mel McGaha,1949,1949,G,6-1,190,"September 26, 1926",Arkansas,/players/m/mcgahme01.html
2953,Mitch McGary,2015,2016,F-C,6-10,255,"June 6, 1992",Michigan,/players/m/mcgarmi01.html
2954,JaVale McGee,2009,2023,C,7-0,270,"January 19, 1988",Nevada,/players/m/mcgeeja01.html
2955,Mike McGee,1982,1990,G-F,6-5,190,"July 29, 1959",Michigan,/players/m/mcgeemi01.html
2956,Bill McGill,1963,1970,C-F,6-9,225,"September 16, 1939",Utah,/players/m/mcgilbi01.html
2957,George McGinnis,1972,1982,F-C,6-8,235,"August 12, 1950",Indiana,/players/m/mcginge01.html
2958,Jon McGlocklin,1966,1976,G-F,6-5,205,"June 10, 1943",Indiana,/players/m/mcglojo01.html
2959,Bryce McGowens,2023,2023,G-F,6-7,179,"November 8, 2002",Nebraska,/players/m/mcgowbr01.html
2960,Tracy McGrady,1998,2012,F-G,6-8,210,"May 24, 1979",,/players/m/mcgratr01.html
2961,Gil McGregor,1972,1972,F,6-8,240,"June 14, 1949",Wake Forest,/players/m/mcgregi01.html
2962,Cameron McGriff,2022,2022,F,6-7,230,"September 30, 1997",Oklahoma State,/players/m/mcgrica01.html
2963,Elton McGriff,1968,1969,C,6-9,225,"August 21, 1942",Creighton,/players/m/mcgriel01.html
2964,Rodney McGruder,2017,2023,G,6-4,205,"July 29, 1991",Kansas State,/players/m/mcgruro01.html
2965,Alfred McGuire,1952,1955,G-F,6-2,180,"September 7, 1928",St. John's,/players/m/mcguial01.html
2966,Allie McGuire,1974,1974,G,6-3,175,"July 10, 1951",Marquette,/players/m/mcguial02.html
2967,Dick McGuire,1950,1960,G,6-0,180,"January 25, 1926",St. John's,/players/m/mcguidi01.html
2968,Dominic McGuire,2008,2013,F,6-9,220,"October 20, 1985","California, Fresno State",/players/m/mcguido01.html
2969,Kevin McHale,1981,1993,F-C,6-10,210,"December 19, 1957",Minnesota,/players/m/mchalke01.html
2970,Maurice McHartley,1968,1970,G-F,6-3,185,"August 1, 1942",North Carolina A&T,/players/m/mcharma01.html
2971,Jim McIlvaine,1995,2001,C,7-1,240,"July 30, 1972",Marquette,/players/m/mcilvji01.html
2972,Jeff McInnis,1997,2008,G,6-4,190,"October 22, 1974",UNC,/players/m/mcinnje01.html
2973,Kenny McIntosh,1972,1975,F,6-7,225,"January 21, 1949",Eastern Michigan,/players/m/mcintke01.html
2974,Bob McIntyre,1968,1970,F,6-6,215,"January 23, 1944",St. John's,/players/m/mcintbo01.html
2975,Jerry McKee,1970,1970,G,6-3,190,"August 4, 1946",Ohio University,/players/m/mckeeje01.html
2976,Kevin McKenna,1982,1988,G-F,6-5,195,"January 8, 1959",Creighton,/players/m/mckenke01.html
2977,Forrest McKenzie,1987,1987,F,6-7,200,"February 16, 1963",Loyola Marymount,/players/m/mckenfo01.html
2978,Stan McKenzie,1968,1974,F-G,6-5,195,"October 6, 1944",NYU,/players/m/mckenst01.html
2979,Derrick McKey,1988,2002,F-C,6-9,205,"October 10, 1966",Alabama,/players/m/mckeyde01.html
2980,Aaron McKie,1995,2007,G,6-5,209,"October 2, 1972",Temple,/players/m/mckieaa01.html
2981,Billy McKinney,1979,1986,G,6-0,160,"June 5, 1955",Northwestern,/players/m/mckinbi01.html
2982,Bones McKinney,1947,1952,F-C,6-6,185,"January 1, 1919",UNC,/players/m/mckinbo01.html
2983,Carlton McKinney,1990,1992,G,6-4,190,"October 21, 1964","Tulsa, SMU",/players/m/mckinca01.html
2984,Trey McKinney-Jones,2018,2018,G,6-5,214,"August 27, 1990","Missouri-Kansas City, Miami (FL)",/players/m/mckintr01.html
2985,Alfonzo McKinnie,2018,2022,F,6-7,215,"September 17, 1992",Green Bay,/players/m/mckinal01.html
2986,JaQuori McLaughlin,2022,2022,G,6-4,190,"January 29, 1998","Oregon State, UC Santa Barbara",/players/m/mclauja01.html
2987,Jordan McLaughlin,2020,2023,G,5-11,185,"April 9, 1996",USC,/players/m/mclaujo01.html
2988,Ben McLemore,2014,2022,G,6-3,195,"February 11, 1993",Kansas,/players/m/mclembe01.html
2989,McCoy McLemore,1965,1972,F-C,6-7,230,"April 3, 1942",Drake University,/players/m/mclemmc01.html
2990,George McLeod,1953,1953,F,6-5,200,"January 3, 1931",TCU,/players/m/mcleoge01.html
2991,Keith McLeod,2004,2007,G,6-2,188,"November 5, 1979",Bowling Green,/players/m/mcleoke01.html
2992,Roshown McLeod,1999,2001,F,6-8,221,"November 17, 1975","St. John's, Duke",/players/m/mcleoro01.html
2993,Jack McMahon,1953,1960,G,6-1,185,"December 3, 1928",St. John's,/players/m/mcmahja01.html
2994,Nate McMillan,1987,1998,G-F,6-5,195,"August 3, 1964",NC State,/players/m/mcmilna01.html
2995,Tom McMillen,1976,1986,F-C,6-11,215,"May 26, 1952",Maryland,/players/m/mcmilto01.html
2996,Jim McMillian,1971,1979,F,6-5,215,"March 11, 1948",Columbia University,/players/m/mcmilji01.html
2997,Shellie McMillon,1959,1962,F,6-5,205,"March 11, 1936",Bradley,/players/m/mcmilsh01.html
2998,Mal McMullen,1950,1951,F-C,6-5,210,"August 23, 1927",Xavier,/players/m/mcmulma01.html
2999,Chet McNabb,1948,1948,F,6-2,200,"September 19, 1920",Arizona State,/players/m/mcnabch01.html
3000,Mark McNamara,1983,1991,C-F,6-11,235,"June 8, 1959","Santa Clara, California",/players/m/mcnamma01.html
3001,Joe McNamee,1951,1952,F-C,6-6,210,"September 24, 1926",San Francisco,/players/m/mcnamjo01.html
3002,Jerel McNeal,2015,2015,G,6-3,200,"June 1, 1987",Marquette,/players/m/mcneaje01.html
3003,Chris McNealy,1986,1988,F,6-7,210,"July 15, 1961",San Jose State,/players/m/mcneach01.html
3004,Bob McNeill,1961,1962,G,6-1,170,"October 22, 1938",Saint Joseph's,/players/m/mcneibo01.html
3005,Larry McNeill,1974,1979,F-C,6-9,195,"January 31, 1951",Marquette,/players/m/mcneila01.html
3006,Carl McNulty,1955,1955,G,6-3,185,"February 14, 1930",Purdue,/players/m/mcnulca01.html
3007,Paul McPherson,2001,2001,G,6-4,210,"July 3, 1978",DePaul,/players/m/mcphepa01.html
3008,Roy McPipe,1975,1975,G,6-3,205,"May 5, 1950","Montana State University, Billings",/players/m/mcpipro01.html
3009,Cozell McQueen,1987,1987,F,6-11,235,"January 18, 1962",NC State,/players/m/mcqueco01.html
3010,Jordan McRae,2016,2020,G,6-5,179,"March 28, 1991",Tennessee,/players/m/mcraejo01.html
3011,Thales McReynolds,1966,1966,G,6-3,185,"June 8, 1943",Miles College,/players/m/mcreyth01.html
3012,Josh McRoberts,2008,2018,F,6-10,240,"February 28, 1987",Duke,/players/m/mcrobjo01.html
3013,Eric McWilliams,1973,1973,F,6-8,200,"April 18, 1950",Cal State Long Beach,/players/m/mcwiler01.html
3014,George Mearns,1947,1948,F,6-3,175,"April 18, 1922",Rhode Island,/players/m/mearnge01.html
3015,Stanislav Medvedenko,2001,2007,F,6-10,250,"April 4, 1979",,/players/m/medvest01.html
3016,Darnell Mee,1994,1995,G,6-5,175,"February 11, 1971",Western Kentucky,/players/m/meeda01.html
3017,Jodie Meeks,2010,2019,G,6-4,210,"August 21, 1987",Kentucky,/players/m/meeksjo01.html
3018,Cliff Meely,1972,1976,F-C,6-8,215,"July 10, 1947",Colorado,/players/m/meelycl01.html
3019,Scott Meents,1990,1991,F,6-10,225,"January 4, 1964",Illinois,/players/m/meentsc01.html
3020,Dick Mehen,1950,1952,F-C,6-5,195,"May 20, 1922",Tennessee,/players/m/mehendi01.html
3021,Monk Meineke,1953,1958,F-C,6-7,208,"October 30, 1930",Dayton,/players/m/meinemo01.html
3022,Carl Meinhold,1948,1949,G-F,6-2,185,"March 29, 1926",Long Island University,/players/m/meinhca01.html
3023,Salah Mejri,2016,2019,C,7-2,235,"June 15, 1986",,/players/m/mejrisa01.html
3024,Gal Mekel,2014,2015,G,6-3,191,"March 4, 1988",Wichita State,/players/m/mekelga01.html
3025,Bill Melchionni,1967,1976,G,6-1,165,"October 19, 1944",Villanova,/players/m/melchbi01.html
3026,Gary Melchionni,1974,1975,G,6-2,185,"January 19, 1951",Duke,/players/m/melchga01.html
3027,Nicolò Melli,2020,2021,F,6-9,236,"January 26, 1991",,/players/m/mellini01.html
3028,Fab Melo,2013,2013,C,7-0,255,"June 20, 1990",Syracuse,/players/m/melofa01.html
3029,De'Anthony Melton,2019,2023,G,6-2,200,"May 28, 1998",USC,/players/m/meltode01.html
3030,Ed Melvin,1947,1947,G,5-9,170,"February 13, 1916",Duquesne,/players/m/melvied01.html
3031,Dean Meminger,1972,1977,G,6-0,175,"May 13, 1948",Marquette,/players/m/meminde01.html
3032,Chuck Mencel,1956,1957,G,6-0,168,"April 21, 1933",Minnesota,/players/m/mencech01.html
3033,John Mengelt,1972,1981,G,6-2,195,"October 16, 1949",Auburn,/players/m/mengejo01.html
3034,Ken Menke,1950,1950,G,6-0,168,"October 2, 1922",Illinois,/players/m/menkeke01.html
3035,Pops Mensah-Bonsu,2007,2011,F,6-9,240,"September 7, 1983",George Washington,/players/m/mensapo01.html
3036,Dewitt Menyard,1968,1968,C,6-10,210,"May 24, 1944",Utah,/players/m/menyade01.html
3037,Ron Mercer,1998,2005,G-F,6-7,210,"May 18, 1976",Kentucky,/players/m/mercero01.html
3038,Joe Meriweather,1976,1985,C-F,6-10,215,"October 26, 1953",Southern Illinois,/players/m/meriwjo01.html
3039,Porter Meriwether,1963,1963,G,6-2,180,"March 16, 1940",Tennessee State,/players/m/meriwpo01.html
3040,Sam Merrill,2021,2022,G,6-4,205,"May 15, 1996",Utah State University,/players/m/merrisa01.html
3041,Tom Meschery,1962,1971,F,6-6,215,"October 26, 1938",Saint Mary's,/players/m/meschto01.html
3042,Chimezie Metu,2019,2023,F,6-9,225,"March 22, 1997",USC,/players/m/metuch01.html
3043,Bill Meyer,1968,1968,G,6-3,195,"August 30, 1943",Hiram College,/players/m/meyerbi01.html
3044,Loren Meyer,1996,1999,C,6-10,257,"December 30, 1972",Iowa State,/players/m/meyerlo01.html
3045,Dave Meyers,1976,1980,F-C,6-8,215,"April 21, 1953",UCLA,/players/m/meyerda01.html
3046,Stan Miasek,1947,1953,C-F,6-5,210,"September 19, 1923",,/players/m/miasest01.html
3047,Larry Micheaux,1984,1985,F,6-9,220,"March 24, 1960",Houston,/players/m/michela01.html
3048,Jordan Mickey,2016,2018,F,6-8,235,"July 9, 1994",LSU,/players/m/mickejo01.html
3049,Khris Middleton,2013,2022,F-G,6-7,222,"August 12, 1991",Texas A&M,/players/m/middlkh01.html
3050,Red Mihalik,1947,1947,G,6-0,180,"September 22, 1916",,/players/m/mihalre01.html
3051,Chris Mihm,2001,2009,C,7-0,265,"July 16, 1979",Texas,/players/m/mihmch01.html
3052,Eric Mika,2020,2020,C,6-10,230,"January 5, 1995",BYU,/players/m/mikaer01.html
3053,Ed Mikan,1949,1954,C-F,6-8,230,"October 20, 1925",DePaul,/players/m/mikaned01.html
3054,George Mikan,1949,1956,C,6-10,245,"June 18, 1924",DePaul,/players/m/mikange01.html
3055,Larry Mikan,1971,1971,F,6-7,210,"April 8, 1948",Minnesota,/players/m/mikanla01.html
3056,Vern Mikkelsen,1950,1959,F-C,6-7,230,"October 21, 1928",Hamline University,/players/m/mikkeve01.html
3057,Al Miksis,1950,1950,C,6-7,210,"February 2, 1928",Western Illinois University,/players/m/miksial01.html
3058,Aaron Miles,2006,2006,G,6-1,175,"April 13, 1983",Kansas,/players/m/milesaa01.html
3059,C.J. Miles,2006,2022,G-F,6-6,220,"March 18, 1987",,/players/m/milescj01.html
3060,Darius Miles,2001,2009,F,6-9,210,"October 9, 1981",,/players/m/milesda01.html
3061,Eddie Miles,1964,1972,G-F,6-4,195,"July 5, 1940",Seattle University,/players/m/milesed01.html
3062,Marko Milič,1998,1999,G-F,6-6,235,"May 7, 1977",,/players/m/milicma01.html
3063,Darko Miličić,2004,2013,F-C,7-0,250,"June 20, 1985",,/players/m/milicda01.html
3064,Nat Militzok,1947,1947,F,6-3,195,"May 3, 1923",Cornell,/players/m/militna01.html
3065,Andre Miller,2000,2016,G,6-3,200,"March 19, 1976",Utah,/players/m/millean02.html
3066,Anthony Miller,1995,2005,F,6-9,225,"October 22, 1971",Michigan State,/players/m/millean01.html
3067,Bill Miller,1949,1949,F,6-3,190,"November 24, 1924",UNC,/players/m/millebi01.html
3068,Bob Miller,1984,1984,F,6-10,230,"July 9, 1956",Cincinnati,/players/m/millebo01.html
3069,Brad Miller,1999,2012,C,6-11,244,"April 12, 1976",Purdue,/players/m/millebr01.html
3070,Darius Miller,2013,2021,F,6-6,225,"March 21, 1990",Kentucky,/players/m/milleda01.html
3071,Dick Miller,1981,1981,F,6-6,215,"April 26, 1958",Toledo,/players/m/milledi01.html
3072,Eddie Miller,1953,1954,C-F,6-8,225,"June 18, 1931",Syracuse,/players/m/milleed01.html
3073,Harry Miller,1947,1947,C-F,6-4,230,"July 28, 1923",UNC,/players/m/milleha01.html
3074,Jay Miller,1968,1971,F,6-5,205,"July 19, 1943",Notre Dame,/players/m/milleja01.html
3075,Larry Miller,1969,1975,G-F,6-4,190,"April 4, 1946",UNC,/players/m/millela01.html
3076,Malcolm Miller,2018,2020,F,6-7,210,"March 6, 1993",Holy Cross,/players/m/millema01.html
3077,Mike Miller,2001,2017,F-G,6-8,218,"February 19, 1980",Florida,/players/m/millemi01.html
3078,Oliver Miller,1993,2004,C,6-9,280,"April 6, 1970",Arkansas,/players/m/milleol01.html
3079,Quincy Miller,2013,2015,F,6-9,210,"November 18, 1992",Baylor,/players/m/millequ01.html
3080,Reggie Miller,1988,2005,G-F,6-7,185,"August 24, 1965",UCLA,/players/m/millere01.html
3081,Walt Miller,1947,1947,F,6-2,190,"July 20, 1915",Duquesne,/players/m/millewa01.html
3082,Chris Mills,1994,2003,F,6-6,215,"January 25, 1970","Kentucky, Arizona",/players/m/millsch01.html
3083,John Mills,1947,1947,C-F,6-8,203,"September 7, 1919",Western Kentucky,/players/m/millsjo01.html
3084,Patty Mills,2010,2023,G,6-1,180,"August 11, 1988",Saint Mary's,/players/m/millspa02.html
3085,Terry Mills,1991,2001,F,6-10,230,"December 21, 1967",Michigan,/players/m/millste01.html
3086,Elijah Millsap,2015,2017,G-F,6-6,225,"August 12, 1987","Louisiana, UAB",/players/m/millsel01.html
3087,Paul Millsap,2007,2022,F,6-7,257,"February 10, 1985",Louisiana Tech,/players/m/millspa01.html
3088,Shake Milton,2019,2023,G,6-5,205,"September 26, 1996",SMU,/players/m/miltosh01.html
3089,Harold Miner,1993,1996,G,6-5,210,"May 5, 1971",USC,/players/m/minerha01.html
3090,Yao Ming,2003,2011,C,7-6,310,"September 12, 1980",,/players/m/mingya01.html
3091,Dirk Minniefield,1986,1988,G,6-3,180,"January 17, 1961",Kentucky,/players/m/minnidi01.html
3092,Dave Minor,1952,1953,G-F,6-2,185,"February 23, 1922",UCLA,/players/m/minorda01.html
3093,Greg Minor,1995,1999,G-F,6-6,210,"September 18, 1971",Louisville,/players/m/minorgr01.html
3094,Mark Minor,1973,1973,F,6-6,215,"May 14, 1950",Ohio State,/players/m/minorma01.html
3095,Nikola Mirotić,2015,2019,F,6-10,250,"February 11, 1991",,/players/m/mirotni01.html
3096,Wat Misaka,1948,1948,G,5-7,150,"December 21, 1923","Weber State, Utah",/players/m/misakwa01.html
3097,Jason Miskiri,2000,2000,G,6-2,175,"August 19, 1975",George Mason,/players/m/miskija01.html
3098,Davion Mitchell,2022,2023,G,6-2,205,"September 5, 1998","Auburn, Baylor",/players/m/mitchda01.html
3099,Donovan Mitchell,2018,2023,G,6-1,215,"September 7, 1996",Louisville,/players/m/mitchdo01.html
3100,Leland Mitchell,1968,1968,G,6-4,210,"February 22, 1941",Mississippi State,/players/m/mitchle01.html
3101,Mike Mitchell,1979,1988,F,6-7,215,"January 1, 1956",Auburn,/players/m/mitchmi01.html
3102,Murray Mitchell,1950,1950,C,6-6,,"March 19, 1923",Sam Houston State University,/players/m/mitchmu01.html
3103,Sam Mitchell,1990,2002,F,6-6,210,"September 2, 1963",Mercer University,/players/m/mitchsa01.html
3104,Todd Mitchell,1989,1989,F,6-7,205,"July 26, 1966",Purdue,/players/m/mitchto01.html
3105,Tony Mitchell,2014,2014,F,6-6,216,"August 7, 1989",Alabama,/players/m/mitchto03.html
3106,Tony Mitchell,2014,2014,F,6-8,235,"April 7, 1992",University of North Texas,/players/m/mitchto02.html
3107,Naz Mitrou-Long,2018,2020,G,6-3,218,"August 3, 1993",Iowa State,/players/m/mitrona01.html
3108,Steve Mix,1970,1983,F,6-7,215,"December 30, 1947",Toledo,/players/m/mixst01.html
3109,Bill Mlkvy,1953,1953,F,6-4,190,"January 19, 1931",Temple,/players/m/mlkvybi01.html
3110,Cuttino Mobley,1999,2009,G,6-4,190,"September 1, 1975",Rhode Island,/players/m/moblecu01.html
3111,Eric Mobley,1995,1997,C,6-11,235,"February 1, 1970",Pitt,/players/m/mobleer01.html
3112,Evan Mobley,2022,2023,F-C,7-0,215,"June 18, 2001",USC,/players/m/mobleev01.html
3113,Isaiah Mobley,2023,2023,F,6-10,240,"September 24, 1999",USC,/players/m/mobleis01.html
3114,Doug Moe,1968,1972,F-G,6-5,215,"September 21, 1938",UNC,/players/m/moedo01.html
3115,Larry Moffett,1978,1978,F,6-8,210,"November 5, 1954",UNLV,/players/m/moffela01.html
3116,Leo Mogus,1947,1951,F-C,6-4,190,"April 13, 1921",Youngstown State University,/players/m/mogusle01.html
3117,Nazr Mohammed,1999,2016,C,6-10,221,"September 5, 1977",Kentucky,/players/m/mohamna01.html
3118,Jérôme Moïso,2001,2005,F-C,6-10,235,"June 15, 1978",UCLA,/players/m/moisoje01.html
3119,Paul Mokeski,1980,1991,C-F,7-0,250,"January 3, 1957",Kansas,/players/m/mokespa01.html
3120,Adam Mokoka,2020,2021,G,6-4,190,"July 18, 1998",,/players/m/mokokad01.html
3121,Jack Molinas,1954,1954,F,6-6,200,"October 31, 1931",Columbia University,/players/m/molinja01.html
3122,Wayne Molis,1967,1968,F,6-8,230,"April 17, 1943","Chicago State, Lewis (IL)",/players/m/moliswa01.html
3123,Sidney Moncrief,1980,1991,G,6-4,180,"September 21, 1957",Arkansas,/players/m/moncrsi01.html
3124,Eric Money,1975,1980,G,6-0,170,"February 6, 1955",Arizona,/players/m/moneyer01.html
3125,Sergei Monia,2006,2006,F,6-8,220,"April 15, 1983",,/players/m/moniase01.html
3126,Malik Monk,2018,2023,G,6-3,200,"February 4, 1998",Kentucky,/players/m/monkma01.html
3127,Earl Monroe,1968,1980,G,6-3,185,"November 21, 1944",Winston-Salem State,/players/m/monroea01.html
3128,Greg Monroe,2011,2022,C-F,6-11,265,"June 4, 1990",Georgetown,/players/m/monrogr01.html
3129,Rodney Monroe,1992,1992,G,6-3,185,"April 16, 1968",NC State,/players/m/monroro01.html
3130,Luis Montero,2016,2018,G,6-7,185,"April 6, 1993",Westchester CC,/players/m/montelu01.html
3131,Howie Montgomery,1963,1963,F,6-5,220,"August 22, 1940",University of Texas Rio Grande Valley,/players/m/montgho01.html
3132,Eric Montross,1995,2002,C,7-0,270,"September 23, 1971",UNC,/players/m/montrer01.html
3133,Moses Moody,2022,2023,G,6-6,205,"May 31, 2002",Arkansas,/players/m/moodymo01.html
3134,Jamario Moon,2008,2012,F,6-8,205,"June 13, 1980",Meridian Community College,/players/m/moonja01.html
3135,Xavier Moon,2022,2022,G,6-2,165,"January 2, 1995","Northwest Florida State College, Morehead State University",/players/m/moonxa01.html
3136,Jim Mooney,1953,1953,F,6-5,215,"July 8, 1930",Villanova,/players/m/mooneji01.html
3137,Matt Mooney,2020,2022,G,6-3,199,"February 7, 1997","Air Force, South Dakota, Texas Tech",/players/m/moonema01.html
3138,Andre Moore,1988,1988,F,6-9,215,"July 2, 1964",Loyola Chicago,/players/m/moorean01.html
3139,Ben Moore,2018,2018,F,6-8,220,"May 13, 1995",SMU,/players/m/moorebe01.html
3140,E'Twaun Moore,2012,2021,G-F,6-3,191,"February 25, 1989",Purdue,/players/m/mooreet01.html
3141,Gene Moore,1969,1975,C-F,6-9,225,"July 29, 1945",Saint Louis,/players/m/moorege01.html
3142,Jackie Moore,1955,1957,F,6-5,180,"September 24, 1932",La Salle,/players/m/mooreja01.html
3143,Johnny Moore,1981,1990,G,6-1,175,"March 3, 1958",Texas,/players/m/moorejo01.html
3144,Larry Moore,1968,1968,F,6-7,215,"July 10, 1942",Florida State,/players/m/moorela01.html
3145,Lowes Moore,1981,1983,G,6-1,170,"May 5, 1957",West Virginia,/players/m/moorelo01.html
3146,Mikki Moore,1999,2012,C-F,6-11,225,"November 4, 1975",Nebraska,/players/m/mooremi01.html
3147,Otto Moore,1969,1977,C-F,6-11,205,"August 27, 1946",University of Texas Rio Grande Valley,/players/m/mooreot01.html
3148,Richie Moore,1968,1968,G,6-2,190,,"Villanova, Hiram Scott College",/players/m/mooreri01.html
3149,Ron Moore,1988,1988,C,7-0,260,"January 16, 1962","Salem University, West Virginia State University",/players/m/moorero01.html
3150,Tracy Moore,1992,1997,G-F,6-4,200,"December 28, 1965",Tulsa,/players/m/mooretr01.html
3151,Wendell Moore Jr.,2023,2023,G-F,6-5,213,"September 18, 2001",Duke,/players/m/moorewe01.html
